bggid;name;rank;min_players;max_players;min_playtime;max_playtime;thumbnail;image
161882;Irish Gauge;1040;3;5;60;60;https://cf.geekdo-images.com/KyuNY56jg-H1Xu5H8fERLQ__thumb/img/o-TcRMg-gygBfTsQMtamJtcEK14=/fit-in/200x150/filters:strip_icc()/pic4587356.jpg;https://cf.geekdo-images.com/KyuNY56jg-H1Xu5H8fERLQ__original/img/zLG4psLAdWKx5aL2I9un2OT7rrE=/0x0/pic4587356.jpg
148949;Istanbul;117;2;5;40;60;https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__thumb/img/Vzpg3sdeAbCy0IxSAoh1aH9nvDE=/fit-in/200x150/filters:strip_icc()/pic1885326.jpg;https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__original/img/mJdCiWN7ePw8Q73GDhXupvKfOnE=/0x0/pic1885326.jpg
285792;Jigūan: The Eastern Mechanist;9781;2;4;45;90;https://cf.geekdo-images.com/ra-YCGj9UwXnDfukaQtztw__thumb/img/NbLQDwBIcbiUwUHeLXONhRA6mEw=/fit-in/200x150/filters:strip_icc()/pic4878136.png;https://cf.geekdo-images.com/ra-YCGj9UwXnDfukaQtztw__original/img/Hz0Ic9jKod1ojTCZMew60mK5gk0=/0x0/pic4878136.png
109276;Kanban: Driver's Edition;175;2;4;90;120;https://cf.geekdo-images.com/rzSmS-GD8_pGl9bWo07FWQ__thumb/img/jo2betPcpo8mVZPIs993TT_nOMo=/fit-in/200x150/filters:strip_icc()/pic5638431.jpg;https://cf.geekdo-images.com/rzSmS-GD8_pGl9bWo07FWQ__original/img/-R59jLLLtpzBBcZWSnl0FpWVjnU=/0x0/pic5638431.jpg
252446;Key Flow;1516;2;6;45;75;https://cf.geekdo-images.com/1o7i-hnpCiWC45QUnSOAgA__thumb/img/SyQQsxeI4PP3qaJk1q-ItgR6e3M=/fit-in/200x150/filters:strip_icc()/pic4264435.jpg;https://cf.geekdo-images.com/1o7i-hnpCiWC45QUnSOAgA__original/img/xD5kBUy7vM4oUk2ibjr27pFnpk8=/0x0/pic4264435.jpg
275067;Key Market (Second Edition);3840;2;4;90;90;https://cf.geekdo-images.com/VhwMnTvSJu5sFZ7UUDEUVQ__thumb/img/S9TndZPGZzrEn-PsGirLwLAfziQ=/fit-in/200x150/filters:strip_icc()/pic4873750.jpg;https://cf.geekdo-images.com/VhwMnTvSJu5sFZ7UUDEUVQ__original/img/va5_t2K_tJlcClBzykqIfiqA2WI=/0x0/pic4873750.jpg
205507;Key to the City: London;1856;2;6;90;120;https://cf.geekdo-images.com/KOx2N4eRuY45SWvzFL8_7g__thumb/img/g3Fu9UEH_S_2Ci7OUQ8cDz2sxP0=/fit-in/200x150/filters:strip_icc()/pic3145313.jpg;https://cf.geekdo-images.com/KOx2N4eRuY45SWvzFL8_7g__original/img/7RGoqHU7-OdEMcBkaeMml3Czm9Y=/0x0/pic3145313.jpg
107529;Kingdom Builder;538;2;4;45;45;https://cf.geekdo-images.com/kJOP_BICVX-88sKqFRh9PQ__thumb/img/KwrWpSRncnCE0cEldldyVQ-0Cdk=/fit-in/200x150/filters:strip_icc()/pic1152359.jpg;https://cf.geekdo-images.com/kJOP_BICVX-88sKqFRh9PQ__original/img/y_ztUjzGGoO4TwnmTFNDLnOxz90=/0x0/pic1152359.jpg
193512;Kingdom Defenders;3017;2;4;60;90;https://cf.geekdo-images.com/uyve-F_qWpc8rZDe-94OPw__thumb/img/huKyWatE-0MA58ZcK1mdwZ4vtuc=/fit-in/200x150/filters:strip_icc()/pic4253044.jpg;https://cf.geekdo-images.com/uyve-F_qWpc8rZDe-94OPw__original/img/bAQT6cf--JMniTAyMTTBc-PUIJ8=/0x0/pic4253044.jpg
135;Kontor;5772;2;4;60;60;https://cf.geekdo-images.com/JyI-t2UXLqHwWZHMAtqNkw__thumb/img/y3pa1wct8SUFrHm2H9rYe2PO7oY=/fit-in/200x150/filters:strip_icc()/pic239457.jpg;https://cf.geekdo-images.com/JyI-t2UXLqHwWZHMAtqNkw__original/img/rmc1JtXJ2a0EITvER3gGF-dZedE=/0x0/pic239457.jpg
117854;Kosmonauts;4175;2;4;60;60;https://cf.geekdo-images.com/lU641U2Y-erTrTqc6fVTTA__thumb/img/jiZqOzk-rRpnsK6xQXcgawvmGWI=/fit-in/200x150/filters:strip_icc()/pic1294074.jpg;https://cf.geekdo-images.com/lU641U2Y-erTrTqc6fVTTA__original/img/Ezio42LwIMReCBKcRIYkgrjxqVg=/0x0/pic1294074.jpg
